"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2509362,"January 23, 2023",Illinois,Chicago,"2900 block of East 78th St",2,3,N/A
2509663,"January 23, 2023",California,"Half Moon Bay","12761 San Mateo Rd",7,1,N/A
2508683,"January 22, 2023",Mississippi,"Robinsonville (Tunica Resorts)","1010 Casino Center Dr",0,4,N/A
2508370,"January 22, 2023",Louisiana,"Baton Rouge","4619 Bennington Ave",0,12,N/A
2508522,"January 22, 2023",Louisiana,Shreveport,"1600 Sugar Ln",0,8,N/A
2507836,"January 21, 2023",California,"Monterey Park","122 W Garvey Ave",12,9,N/A
2504645,"January 17, 2023",Texas,Houston,"6729 Lockwood Dr",0,4,N/A
2503649,"January 16, 2023",Florida,"Fort Pierce","Avenue M and N 13th St",1,7,N/A
2503345,"January 16, 2023",California,Goshen,"Harvest Ave and Rd 68",6,0,N/A
2503245,"January 16, 2023",Florida,Sanford,"Rinehart Rd and Co Rd 46A",1,5,N/A
2503058,"January 15, 2023",Illinois,Rockford,"2311 23rd St",3,2,N/A
2503178,"January 15, 2023",Florida,Homestead,"700 block of SW Sixth St",1,3,N/A
2503197,"January 15, 2023",Arizona,Phoenix,"S 46th Pl and E Broadway Rd",0,4,N/A
2502680,"January 15, 2023",Texas,Houston,"5121 FM 1960 Rd W",1,4,N/A
2502550,"January 14, 2023",Missouri,"Saint Louis (Moline Acres)","Berwyn Dr and Lanier Dr",0,4,N/A
2501869,"January 13, 2023",Ohio,Cleveland,"3719 Mack Ct",4,1,N/A
2499381,"January 9, 2023",Pennsylvania,Philadelphia,"3300 block of Guilford St",3,1,N/A
2499119,"January 9, 2023",Minnesota,Minneapolis,"2218 E Lake St",0,4,N/A
2498792,"January 9, 2023",Colorado,Denver,"18th St and Blake St",0,4,N/A
2498013,"January 8, 2023",Minnesota,Minneapolis,"930 Hennepin Ave",0,4,N/A
2499425,"January 8, 2023",Georgia,Albany,"1021 S McKinley St",0,4,N/A
2497948,"January 7, 2023",Alabama,Huntsville,"2817 Hwy 72 E",2,9,N/A
2497502,"January 7, 2023","North Carolina","High Point","2734 Mossy Meadow Dr",5,0,N/A
2496714,"January 6, 2023",Texas,Dallas,"8544 Lazy Acres Cir",3,2,N/A
2497164,"January 6, 2023",California,"San Francisco","600 block of Valencia St",1,3,N/A
2496431,"January 5, 2023",Louisiana,"New Orleans","St Andrew St and Rev John Raphael Jr Way",2,3,N/A
2496391,"January 5, 2023",Florida,"Miami Gardens","17647 NW 27th Ave",0,10,N/A
2495648,"January 4, 2023",Utah,"Cedar City (Enoch)","4923 N Albert Dr",8,0,N/A
2494934,"January 4, 2023",Maryland,Baltimore,"4408 Edmondson Ave",1,4,N/A
2495059,"January 4, 2023",Virginia,Dumfries,"17900 block of Milroy Dr",1,4,N/A
2494254,"January 3, 2023","District of Columbia",Washington,"6200 block of Georgia Ave NW",1,3,N/A
2494425,"January 3, 2023",Louisiana,"New Orleans","2600 block of S. Rocheblave St",0,5,N/A
2492314,"January 1, 2023",Ohio,Columbus,"2830 Johnstown Rd",1,4,N/A
2492448,"January 1, 2023",Florida,Ocala,"1600 block of SW 5th St",2,4,N/A
2492601,"January 1, 2023",Illinois,Chicago,"300 block of E 57th St",1,3,N/A
2497601,"January 1, 2023",Florida,"Miami Gardens","NW 171st St and NW 30th Ave",0,9,N/A
2492611,"January 1, 2023","North Carolina",Durham,"1000 N Miami Blvd",0,5,N/A
2493102,"January 1, 2023",Pennsylvania,Allentown,"1140 E Clair St",0,4,N/A