State,Number_Of_Shootings
Illinois,216
California,140
Mississippi,45
Louisiana,92
Texas,145
Florida,103
Arizona,24
Missouri,54
Ohio,78
Pennsylvania,105
Minnesota,32
Colorado,38
Georgia,70
Alabama,51
North Carolina,66
Utah,3
Maryland,59
Virginia,49
District of Columbia,34
Tennessee,51
New York,106
Kansas,7
Oklahoma,12
Michigan,72
Nebraska,8
New Jersey,35
South Carolina,59
Wisconsin,37
Massachusetts,15
Arkansas,23
Oregon,15
Kentucky,23
Washington,23
Indiana,36
Nevada,14
New Mexico,8
Delaware,12
Connecticut,12
Iowa,12
South Dakota,2
Idaho,2
West Virginia,4
Rhode Island,2
New Hampshire,1
Alaska,4
Maine,1